coluna,tipo,nulos,pct_nulos,valores_distintos
id_aluno,object,0,0.0,1851852
id_escola,object,0,0.0,42328
id_municipio,object,0,0.0,5517
rede,object,0,0.0,3
caderno,object,0,0.0,22
peso_aluno,float64,0,0.0,540
nome_municipio,object,0,0.0,5249
sigla_uf,object,0,0.0,26
nome_regiao,object,0,0.0,5
nome_mesorregiao,object,0,0.0,135
capital_uf,Int64,0,0.0,2
amazonia_legal,Int64,0,0.0,2
populacao,Int64,0,0.0,5089
pib,Int64,0,0.0,5499
va_agropecuaria,Int64,0,0.0,5400
va_industria,Int64,0,0.0,5214
va_servicos,Int64,0,0.0,5442
va_adespss,Int64,0,0.0,5414
taxa_municipio_2023,float64,199609,10.78,3517
media_portugues_municipio_2023,float64,199609,10.78,4905
meta_alfabetizacao_2024,float64,86473,4.67,2745
meta_alfabetizacao_2026,float64,59155,3.19,2284
meta_alfabetizacao_2030,float64,59155,3.19,1
nivel_alfabetizacao,Int64,59155,3.19,6
percentual_participacao,float64,59155,3.19,1670
alfabetizado,Int64,0,0.0,2
